Run,NumTrials,Condition,TotalNV,TotalPL,TotalImages,TotalTime,BlockNum
1,5,PL,45,45,90,270,30
1,2,NV,33,0,33,99,12
1,1,PL,45,31,76,228,26
1,2,PL,45,18,63,189,22
1,5,PL,45,15,60,180,20
1,1,PL,45,16,61,183,21
1,1,NV,1,0,1,3,1
1,4,PL,45,25,70,210,24
1,5,PL,45,30,75,225,25
1,3,PL,45,21,66,198,23
1,2,PL,45,33,78,234,27
1,3,NV,6,0,6,18,3
1,4,PL,45,40,85,255,29
1,5,NV,45,0,45,135,15
1,3,NV,36,0,36,108,13
1,3,NV,21,0,21,63,8
1,2,PL,45,3,48,144,17
1,3,PL,45,6,51,153,18
1,4,NV,10,0,10,30,4
1,2,PL,47,47,94,282,32
1,2,NV,3,0,3,9,2
1,1,PL,45,1,46,138,16
1,3,PL,45,36,81,243,28
1,5,NV,15,0,15,45,5
1,4,NV,40,0,40,120,14
1,1,NV,16,0,16,48,6
1,2,NV,18,0,18,54,7
1,5,NV,30,0,30,90,10
1,4,PL,45,10,55,165,19
1,4,NV,25,0,25,75,9
1,2,NV,47,45,92,276,31
1,1,NV,31,0,31,93,11
2,2,NV,47,45,92,276,31
2,2,PL,45,33,78,234,27
2,1,PL,45,16,61,183,21
2,4,NV,10,0,10,30,4
2,4,PL,45,25,70,210,24
2,4,PL,45,10,55,165,19
2,2,PL,45,18,63,189,22
2,1,PL,45,31,76,228,26
2,3,PL,45,6,51,153,18
2,5,NV,15,0,15,45,5
2,1,NV,16,0,16,48,6
2,3,PL,45,21,66,198,23
2,5,NV,30,0,30,90,10
2,2,PL,47,47,94,282,32
2,5,NV,45,0,45,135,15
2,2,NV,3,0,3,9,2
2,5,PL,45,45,90,270,30
2,3,NV,6,0,6,18,3
2,1,NV,31,0,31,93,11
2,4,NV,40,0,40,120,14
2,3,PL,45,36,81,243,28
2,3,NV,21,0,21,63,8
2,5,PL,45,15,60,180,20
2,1,NV,1,0,1,3,1
2,3,NV,36,0,36,108,13
2,5,PL,45,30,75,225,25
2,1,PL,45,1,46,138,16
2,2,PL,45,3,48,144,17
2,4,PL,45,40,85,255,29
2,4,NV,25,0,25,75,9
2,2,NV,33,0,33,99,12
2,2,NV,18,0,18,54,7
3,1,PL,45,31,76,228,26
3,5,PL,45,45,90,270,30
3,4,NV,40,0,40,120,14
3,3,NV,36,0,36,108,13
3,5,PL,45,30,75,225,25
3,2,NV,3,0,3,9,2
3,5,NV,30,0,30,90,10
3,1,NV,1,0,1,3,1
3,2,PL,45,3,48,144,17
3,4,NV,10,0,10,30,4
3,3,PL,45,36,81,243,28
3,3,PL,45,21,66,198,23
3,4,PL,45,10,55,165,19
3,1,PL,45,1,46,138,16
3,1,NV,16,0,16,48,6
3,4,PL,45,25,70,210,24
3,2,PL,47,47,94,282,32
3,1,PL,45,16,61,183,21
3,2,PL,45,18,63,189,22
3,2,NV,18,0,18,54,7
3,5,NV,45,0,45,135,15
3,4,NV,25,0,25,75,9
3,5,PL,45,15,60,180,20
3,3,PL,45,6,51,153,18
3,4,PL,45,40,85,255,29
3,2,NV,47,45,92,276,31
3,2,PL,45,33,78,234,27
3,3,NV,21,0,21,63,8
3,1,NV,31,0,31,93,11
3,2,NV,33,0,33,99,12
3,5,NV,15,0,15,45,5
3,3,NV,6,0,6,18,3
4,5,PL,45,30,75,225,25
4,2,NV,47,45,92,276,31
4,3,PL,45,36,81,243,28
4,4,PL,45,40,85,255,29
4,1,PL,45,16,61,183,21
4,5,NV,45,0,45,135,15
4,2,PL,45,3,48,144,17
4,4,PL,45,10,55,165,19
4,2,NV,18,0,18,54,7
4,4,NV,10,0,10,30,4
4,3,NV,6,0,6,18,3
4,3,PL,45,21,66,198,23
4,5,NV,15,0,15,45,5
4,3,NV,21,0,21,63,8
4,1,NV,16,0,16,48,6
4,5,PL,45,45,90,270,30
4,4,PL,45,25,70,210,24
4,2,PL,45,18,63,189,22
4,3,PL,45,6,51,153,18
4,1,NV,31,0,31,93,11
4,2,PL,47,47,94,282,32
4,2,PL,45,33,78,234,27
4,5,PL,45,15,60,180,20
4,2,NV,3,0,3,9,2
4,2,NV,33,0,33,99,12
4,4,NV,40,0,40,120,14
4,5,NV,30,0,30,90,10
4,3,NV,36,0,36,108,13
4,1,PL,45,31,76,228,26
4,1,PL,45,1,46,138,16
4,4,NV,25,0,25,75,9
4,1,NV,1,0,1,3,1
